Machine_ID,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,type_encoded,temp_difference,power_index,wear_torque_interaction,wear_speed_ratio,health_score,thermal_stress,mechanical_stress,failure_probability,status,rul_days,maintenance_priority,recommended_maintenance_date
M0000,300.998935911075,312.37029057657895,1744,23,229,1,11.37135466550393,40112,5267,0.1313073394495413,39.824999999999996,261.5411573065904,5267,0.1665064,Healthy,5.0,Immediate,2026-06-28 13:41:49.404400
M0001,301.68478519723607,311.257586664371,1228,37,25,0,9.572801467134923,45436,925,0.02035830618892508,71.875,354.19365428399215,925,0.0006848929,Healthy,116.4,Normal,2026-10-17 23:17:49.404400
M0002,298.3633733517541,312.37426755243575,1356,47,241,2,14.010894200681662,63732,11327,0.17772861356932154,22.425000000000004,658.5120274320382,11327,0.18593724,Healthy,1.2,Immediate,2026-06-24 18:29:49.404400
M0003,302.5876162769989,313.61768554647983,1598,75,37,0,11.030069269480919,119850,2775,0.023153942428035045,45.724999999999994,827.2551952110689,2775,0.8307428,Critical,11.9,Urgent,2026-07-05 11:17:49.404400
M0004,296.99076621068764,310.46067593203156,1218,59,122,0,13.469909721343925,71862,7198,0.10016420361247948,38.724999999999994,794.7246735592915,7198,9.426367e-05,Healthy,35.7,Scheduled,2026-07-29 06:29:49.404400
M0005,304.0018401676089,310.44490250854943,1248,35,103,0,6.443062340940514,43680,3605,0.08253205128205128,57.525000000000006,225.507181932918,3605,0.87374765,Critical,7.7,Urgent,2026-07-01 06:29:49.404400
M0006,301.8650656307323,309.97147084712947,1323,62,236,1,8.10640521639715,82026,14632,0.17838246409674982,14.050000000000004,502.5971234166233,14632,0.9992706,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0007,298.4730522195471,312.80277007382324,1181,36,27,2,14.329717854276112,42516,972,0.02286198137171888,72.1,515.86984275394,972,0.00031513424,Healthy,115.7,Normal,2026-10-17 06:29:49.404400
M0008,298.72798250655603,309.23555270776694,1242,37,189,1,10.50757020121091,45954,6993,0.15217391304347827,39.075,388.7800974448037,6993,0.0036011075,Healthy,17.1,Urgent,2026-07-10 16:05:49.404400
M0009,299.04647369734585,308.6939868764487,1678,32,77,0,9.647513179102873,53696,2464,0.045887961859356376,64.6,308.72042173129194,2464,2.2443783e-05,Healthy,80.5,Normal,2026-09-12 01:41:49.404400
M0010,302.80162353526543,308.4168111018843,1435,62,156,1,5.615187566618886,88970,9672,0.10871080139372823,30.049999999999997,348.1416291303709,9672,0.8131742,Critical,3.8,Immediate,2026-06-27 08:53:49.404400
M0011,298.9586641612546,310.04502626379576,1313,56,183,1,11.086362102541159,73528,10248,0.13937547600913938,28.4,620.8362777423049,10248,0.00011187071,Healthy,13.7,Urgent,2026-07-07 06:29:49.404400
M0012,300.1514514277172,311.11542166668033,1403,65,159,1,10.963970238963157,91195,10335,0.11332858161083392,27.575000000000003,712.6580655326052,10335,0.7591757,High Risk,4.4,Immediate,2026-06-27 23:17:49.404400
M0013,302.7799048590998,309.3035197474888,1715,57,114,0,6.523614888388977,97755,6498,0.06647230320699708,41.575,371.8460486381717,6498,0.2856313,Warning,29.1,Urgent,2026-07-22 16:05:49.404400
M0014,302.182874254449,309.9434671744814,1594,50,166,0,7.760592920032366,79700,8300,0.10414052697616061,35.55,388.0296460016183,8300,0.00077155937,Healthy,21.5,Urgent,2026-07-15 01:41:49.404400
M0015,300.800324905268,306.09098985043096,1143,22,198,0,5.290664945162973,25146,4356,0.1732283464566929,46.65,116.39462879358541,4356,0.8616297,Critical,2.4,Immediate,2026-06-25 23:17:49.404400
M0016,301.2386359047541,310.8672304494395,1504,45,6,2,9.62859454468537,67680,270,0.003989361702127659,70.675,433.28675451084166,270,0.0005375978,Healthy,124.1,Normal,2026-10-25 16:05:49.404400
M0017,299.76432094645855,307.34815230395947,1740,64,201,0,7.583831357500912,111360,12864,0.11551724137931034,19.799999999999997,485.3652068800584,12864,0.952483,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0018,300.1688177521429,310.5503321882166,1638,63,185,0,10.3815144360737,103194,11655,0.11294261294261294,23.625,654.0354094726431,11655,0.9271401,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0019,300.479794632932,308.36488307395297,1684,65,94,1,7.885088441020969,109460,6110,0.055819477434679333,40.575,512.530748666363,6110,0.936215,Critical,2.9,Immediate,2026-06-26 11:17:49.404400
M0020,301.63225570470144,309.53787746108304,1332,59,210,1,7.905621756381606,78588,12390,0.15765765765765766,21.125,466.43168362651477,12390,0.99335325,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0021,295.7049252001039,306.3601435145039,1558,53,248,0,10.655218314399974,82574,13144,0.15917843388960207,17.275,564.7265706631986,13144,0.9345941,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0022,301.02995608960487,311.18724134417977,1437,79,77,0,10.157285254574902,113523,6083,0.05358385525400139,35.224999999999994,802.4255351114173,6083,0.96139115,Critical,1.7,Immediate,2026-06-25 06:29:49.404400
M0023,296.6427279658848,312.63534783956726,1455,33,23,1,15.992619873682486,48015,759,0.015807560137457044,74.775,527.7564558315221,759,0.00018353747,Healthy,122.2,Normal,2026-10-23 18:29:49.404400
